Grid scores on validation set:
0.961 (+/-0.026) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.753 (+/-0.193) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.508 (+/-0.538) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.929 (+/-0.144) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.854 (+/-0.208) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.959 (+/-0.053) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.913 (+/-0.158) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.965 (+/-0.015) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.778 (+/-0.258) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.960 (+/-0.036) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.694 (+/-0.333) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.692 (+/-0.002) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.973 (+/-0.007) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.706 (+/-0.576) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.508 (+/-0.519) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.955 (+/-0.024) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
